00's,2001,9
00's,2002,7
00's,2003,4
00's,2004,2
00's,2005,2
00's,2006,3
00's,2007,5
00's,2008,1
00's,2010,1
10's,2011,1
50's,1955,1
50's,1956,2
50's,1957,2
50's,1958,1
50's,1959,4
50's,1960,3
60's,1961,1
60's,1962,2
60's,1963,5
60's,1964,4
60's,1965,14
60's,1966,13
60's,1967,20
60's,1968,21
60's,1969,22
60's,1970,26
70's,1971,21
70's,1972,24
70's,1973,23
70's,1974,14
70's,1975,18
70's,1976,12
70's,1977,18
70's,1978,16
70's,1979,14
70's,1980,9
80's,1981,6
80's,1982,6
80's,1983,6
80's,1984,10
80's,1985,11
80's,1986,9
80's,1987,12
80's,1988,6
80's,1989,10
80's,1990,5
90's,1991,13
90's,1992,6
90's,1993,6
90's,1994,16
90's,1995,5
90's,1996,4
90's,1997,6
90's,1998,5
90's,1999,6
90's,2000,7
